94421996	899	2000	esxBbpwZ
79588373	266	7222	u9r56mHz
72656031	757	5000	mbpzvrxM
86542259	877	3000	Vj3dPK8K
44474042	959	6222	KbKLBfTd
80680886	266	7999	SwT6HyxX
60141920	757	5999	KTTWdFNn
81818276	899	2000	AqdgRZnb
54587793	266	7999	GAymA7KG
71306743	877	3999	bmmhqDsn
67952149	757	5000	jTzpbs2f
39423108	899	2000	VNBXtba9
86560000	888	1200	BCtTG4W6
88703239	899	2222	Djnzjs9b
32645849	899	2000	GcL3nDfs
76378014	899	2000	tLwzQDhE
21009143	233	9222	JZcARxzY
58775156	266	7222	Xd7SQsWW
85612009	959	6222	wu94uUMc
21595957	877	3222	UkH9u4es
93340225	454	4222	HF32BGy2
53083098	244	8000	yKbJjRRr
21670978	266	7000	f3CUzEv4
27850356	757	5000	5CtEedrh
94921212	899	2000	bKjJxaPA
11051502	877	3000	SLNJmpbt
51982031	959	6999	bZsEkxZt
27007576	244	8222	MaNedpqT
63736156	877	3999	CBT4NHqu
61043630	888	1200	3Qbyxp9y
90473810	888	1200	KJafHWJF
58828765	899	2999	jtV4LWPz
54396489	899	2999	nvKaKnGf
83888577	877	3000	MXZpvK2b
92068404	877	3000	5HjYt89A
81815957	959	6999	FfZ4Tt8e
17689164	959	6999	THkLSsgk
14379566	266	7000	QtLQfsXN
79184404	266	7000	k2PPFV2p
46671737	888	1200	rz95NCE
11506036	888	1200	g2epAzU
61640985	959	6999	3SjW8gY
18750902	959	6999	CpMGNFB
89443011	877	3222	Us8YRHt
55188212	757	5222	rL6DMby
50136201	959	6222	6u3He6d
93608686	899	2999	58SsF55
86777190	899	2000	MCbwpmzKq
70326364	899	2000	5m8e4PZwC
48688766	266	7000	bbpKJAzpX
46189083	266	7000	ynPqpdsFr
44332424	757	5000	5ECrkzfTB
43222879	757	5000	gjHqrsgct
19853775	244	8222	6N65rk4xX
56687762	757	5999	N96xfMTsp
62916411	877	3222	erDBcYYzY
34301277	888	1200	PDw8eXWTp
40680876	899	2222	s7URnW7Nj
80311581	266	7999	FTuTF4aTX
59370908	244	8999	KtT7NepMf
59443552	233	9999	eVKJem4X9
55243612	888	1200	wZLPUwYeG
55459955	959	6222	tejxzscLK
42033869	757	5222	RCmFnw8YU
96266638	899	2999	Eres8ht
67147417	233	9999	Chd9Cme
91561076	888	1999	2yb6b3C
29143575	244	8222	baSEnRu
47287144	757	5222	UyDfNGv
16351156	959	6222	NkZVr7n
57902824	877	3222	sE6XnZQ
36446300	899	2222	G4YSkxJ
11897196	266	7000	jNeRbGm
96609131	757	5000	RdrCsue
46025880	899	2000	mYaGnVk
71232539	888	1222	RQWjSJr
12320874	888	1222	khjfkf78j
45088822	888	1222	jkkl*7766
12345600	244	8999	jhk78(hg
45613163	233	9000	fjns?*hjk
87942400	244	8999	kgjfkdn*
78956132	888	1222	jdndk*7
45896192	899	2222	ddhhdn%%
12395647	244	8999	jhujn8*
45987328	888	1222	12346jh*
23568734	899	2222	jhuy78*
76924057	888	1222	ytka23*
34980096	888	1222	khjsh*12
45357824	899	2222	weyh78*9
19874563	244	8999	hgkdjf*90
79624122	244	8999	hkji&*98
55563212	888	1222	hhbv67*9
49532300	899	2222	gjhh*(&8
22359785	888	1200	vju778(9
99545622	899	2222	kn6877jd
46694522	244	8999	ndif#443
26941224	233	9000	wkjirjk
69856561	899	2222	kmdkiff&
78899797	888	1200	fjg78*96
91612155	888	1222	gkojfin9
15894135	899	2222	fnkfn*90
16594215	899	2222	fknug78*
21684556	899	2222	fjiffkj
13225684	888	1200	rrjk6768*
12569898	888	1222	kffi^&88
23385488	244	8999	dmkfnf67
15584862	233	9000	mdkuf678
25481244	888	1222	kfnif67*
23645125	899	2222	lrf3456j
91376524	888	1200	jfhf45*
29876453	888	1200	djnfuhj*
22645118	899	2222	kmfiv78(
26984866	888	1222	mdf&898
69945005	888	1200	fnf457gj
15158946	244	8999	dmjfnjf5
25181568	244	8999	dknduf67
12851263	244	8999	kahs567*
89654132	233	9000	dmfn457)
65948455	233	9000	smf567
15847451	233	9000	dfmfgng^7
65945155	233	9000	fmkg456&*
26451598	233	9000	dbf567*89
69874512	888	1200	jxdc678(9
98650547	899	2222	dnu&898h
39564133	899	2222	dnfui567n
36945215	899	2222	kejfgn567
34975215	888	1222	jghsk67*
59978154	899	2222	dnfk89$44
51645121	899	2222	msijd678*
63294155	244	8999	djfm567
16544512	888	1222	msid6&89
36598455	888	1200	jdfudu4*
79629621	888	1222	skfhjf678
21549122	899	2222	dmfihf*89
76597412	244	8999	lkej456&
36945848	233	9000	kojfn&5e
95641265	244	8999	fnugh^789
15945156	888	1200	lggng[\8
32798165	888	1222	dnuf45*(9
93164131	899	2222	xnj789(00
64875221	888	1222	smifj345
67981236	244	8999	mdid5679
73158466	899	2222	sfbh5678*
86153655	899	2222	ghji7899
87962102	899	2222	kggh^&88)
85621110	888	1222	kf&8nnfvg
59531215	244	8999	sdmff567*
93556812	899	2222	msihk&87
36598455	888	1200	7fud6774*
79669661	233	9000	6sk6fhj78
64873444	899	2222	smj34512
67981466	888	1222	mdikffo9
